month_year,year,month_num,total_sales,pct_change,annotation
2021-01,2021,1,133619322,0.0,
2021-02,2021,2,114136199,-14.58106710046022,
2021-03,2021,3,174909846,53.246601457264234,
2021-04,2021,4,81012700,-53.68316772744743,
2021-05,2021,5,106839903,31.880437264774542,Penurunan Terendah
2021-06,2021,6,115337002,7.953113735043349,
2021-07,2021,7,494241228,328.5192257728356,
2021-08,2021,8,453489762,-8.245258325555959,
2021-09,2021,9,457003417,0.774803599645546,
2021-10,2021,10,490697429,7.37281401990042,
2021-11,2021,11,485600382,-1.0387352161977614,
2021-12,2021,12,427500513,-11.96454351224131,
2022-01,2022,1,435024749,1.760053092614644,
2022-02,2022,2,365087046,-16.07671820069253,
2022-03,2022,3,508822354,39.370147359323184,
2022-04,2022,4,696511869,36.88704191640133,Puncak Penjualan
2022-05,2022,5,537531490,-22.82522180537314,
2022-06,2022,6,398247288,-25.91182183577747,
2022-07,2022,7,455575137,14.395038140222072,
2022-08,2022,8,691927381,51.87996991152745,
2022-09,2022,9,660324847,-4.567319471347819,
2022-10,2022,10,124486122,-81.14774530057932,
2022-11,2022,11,142875062,14.771879551360744,
2022-12,2022,12,108555392,-24.020755980494346,
